,Name,ID,Max_TCGA,Max_R,Positive_MAX_TCGA,Positive_MAX_R,Negative_MAX_TCGA,Negative_MAX_R,Min_TCGA,Min_R,Mean_R,Median_R,SD_R,all_samples,Significant_samples,Positive_sig_samples,Negative_sig_samples
0,TIGAR,ENSG00000078237,CHOL,0.3991709429891732,CHOL,0.3991709429891732,False,False,CHOL,0.3991709429891732,0.3991709429891732,0.3991709429891732,0.0,1,0,0,0
1,RNF44,ENSG00000146083,CHOL,0.4243306763697538,CHOL,0.4243306763697538,False,False,DLBC,0.4056346357359189,0.41498265605283635,0.41498265605283635,0.00934802031691745,2,2,2,0
2,RPL23A,ENSG00000198242,DLBC,0.600106802172158,False,False,DLBC,-0.600106802172158,DLBC,0.600106802172158,0.600106802172158,0.600106802172158,0.0,1,1,0,1
